time,Generated Power / MWh,Efficiency / kWh/kW,Exported ,FIT Credit,Low / kWh,High / kWh,Average / kWh,Comments
2021-01-01 00:00:00+00:00,80.608,2.572,-,"€0,00",17.222,"5,029.01","2,600.26",
2021-02-01 00:00:00+00:00,106.485,3.901,-,"€0,00",491.085,"5,701.89","3,943.89",Partial Month (27 days)
2021-03-01 00:00:00+00:00,132.772,4.237,-,"€0,00",746.282,"6,747.42","4,282.96",
2021-04-01 00:00:00+00:00,148.831,4.908,-,"€0,00",933.587,"6,975.79","4,961.03",
2021-05-01 00:00:00+00:00,177.705,5.671,-,"€0,00","2,881.90","7,053.56","5,732.42",
2021-06-01 00:00:00+00:00,173.893,5.734,-,"€0,00","3,789.21","7,091.97","5,796.44",
2021-07-01 00:00:00+00:00,182.262,5.816,-,"€0,00","2,251.74","6,632.36","5,879.41",
2021-08-01 00:00:00+00:00,174.046,5.554,-,"€0,00","2,521.77","6,398.88","5,614.38",
2021-09-01 00:00:00+00:00,142.971,4.714,-,"€0,00","1,509.04","6,329.06","4,765.72",
2021-10-01 00:00:00+00:00,107.088,3.417,-,"€0,00",73.842,"5,978.94","3,454.44",
2021-11-01 00:00:00+00:00,73.358,2.419,-,"€0,00",0,"4,573.96","2,445.28",
2021-12-01 00:00:00+00:00,73.004,2.33,-,"€0,00",177.804,"4,130.09","2,354.97",
